1,rand-def       ,0.44,0.08 (        - *--  |              ),0.39,0.43,0.44,0.48,0.52
1,nb-dtf-clust   ,0.48,0.28 ( -----     *   |----          ),0.24,0.35,0.48,0.60,0.70
2,cart-def       ,0.59,0.11 (              -|* -           ),0.54,0.56,0.59,0.63,0.67
2,cart-cfs-clust ,0.59,0.09 (               |*--           ),0.54,0.54,0.59,0.62,0.67
2,cart-def-clust ,0.59,0.11 (             --|* ---         ),0.52,0.57,0.59,0.65,0.71
2,rf-def         ,0.59,0.11 (              -|* ---         ),0.54,0.57,0.59,0.65,0.71
2,rf-def-clust   ,0.59,0.11 (              -|* ---         ),0.54,0.57,0.59,0.65,0.71
2,nb-svmf-clust  ,0.59,0.18 (            ---|*   ----      ),0.50,0.56,0.59,0.69,0.78
2,cart-cfs       ,0.59,0.09 (               |*--           ),0.54,0.54,0.59,0.62,0.67
2,cart-svmf-clust,0.59,0.09 (             - |*-            ),0.52,0.54,0.59,0.62,0.65
2,rf-svmf-clust  ,0.61,0.11 (              -| *--          ),0.54,0.56,0.61,0.65,0.70
2,rf-svmf        ,0.61,0.11 (              -| *---         ),0.54,0.56,0.61,0.65,0.71
2,cart-svmf      ,0.61,0.09 (             - | *-           ),0.52,0.54,0.61,0.62,0.67
3,rf-dtf-clust   ,0.63,0.08 (       --------|  *--         ),0.38,0.59,0.63,0.65,0.72
3,svm-def        ,0.63,0.1 (              -|  *---        ) ,0.54,0.60,0.63,0.67,0.73
3,rf-cfs-clust   ,0.63,0.11 (              -|  *--         ),0.54,0.57,0.63,0.67,0.71
3,rf-cfs         ,0.63,0.13 (              -|  *--         ),0.54,0.56,0.63,0.67,0.72
3,svm-def-clust  ,0.65,0.08 (               |- *---        ),0.56,0.61,0.65,0.67,0.73
3,cart-dtf-clust ,0.65,0.08 (         ------|  *--         ),0.42,0.59,0.65,0.67,0.72
3,cart-dtf       ,0.65,0.08 (         ------|  *--         ),0.42,0.59,0.65,0.67,0.72
3,rf-dtf         ,0.65,0.09 (           ----|--* ---       ),0.48,0.63,0.65,0.69,0.75
3,svm-svmf-clust ,0.65,0.04 (               |--*---        ),0.57,0.63,0.65,0.67,0.74
3,svm-svmf       ,0.67,0.05 (               |-- *---       ),0.59,0.65,0.67,0.69,0.75
3,svm-dtf-clust  ,0.67,0.05 (               |-- *---       ),0.58,0.65,0.67,0.69,0.75
3,nb-dtf         ,0.67,0.43 (----           |   *--        ),0.22,0.31,0.67,0.70,0.74
3,nb-def-clust   ,0.67,0.13 (              -|   * --       ),0.54,0.59,0.67,0.71,0.75
4,svm-dtf        ,0.7 ,0.07 (               |--- * --      ),0.56,0.67,0.70,0.73,0.78
4,nb-cfs-clust   ,0.7 ,0.12 (               |    * ---     ),0.65,0.65,0.70,0.74,0.81
4,nb-svmf        ,0.72,0.09 (           ----|---- * --     ),0.48,0.70,0.72,0.76,0.80
5,svm-cfs        ,0.73,0.11 (               |  --  * --    ),0.63,0.70,0.73,0.79,0.83
5,svm-cfs-clust  ,0.73,0.15 (               | -    * --    ),0.61,0.65,0.73,0.79,0.83
5,nb-cfs         ,0.74,0.11 (               |  --  *---    ),0.65,0.69,0.74,0.77,0.83
5,nb-def         ,0.74,0.06 (               |    - *--     ),0.69,0.72,0.74,0.77,0.80
6,oner-def       ,0.78,0.1 (               |   ---  * --  ) ,0.67,0.74,0.78,0.83,0.87