1,rf-def         ,0.24,0.16 (  ---  * --    |              ),0.08,0.18,0.24,0.30,0.34
1,rf-def-clust   ,0.24,0.16 (       * --    |              ),0.13,0.15,0.24,0.30,0.34
2,rf-cfs-clust   ,0.31,0.17 (    ---  * ----|              ),0.15,0.24,0.31,0.36,0.47
2,rf-cfs         ,0.33,0.19 (    ----  *  --|              ),0.14,0.26,0.33,0.42,0.50
2,rand-def       ,0.36,0.08 (         - *-- |              ),0.28,0.32,0.36,0.37,0.44
2,nb-def-clust   ,0.36,0.23 (      --   *  -|              ),0.20,0.27,0.36,0.44,0.50
2,cart-cfs-clust ,0.37,0.35 (    -----  *   |--            ),0.13,0.30,0.37,0.50,0.56
3,svm-def-clust  ,0.43,0.14 (         --- * |-             ),0.30,0.39,0.43,0.50,0.55
3,nb-cfs-clust   ,0.45,0.1 (         ---  *|---           ) ,0.29,0.40,0.45,0.48,0.59
4,nb-svmf-clust  ,0.47,0.1 (            -  *---           ) ,0.38,0.43,0.47,0.52,0.59
4,svm-def        ,0.47,0.13 (         ---   *-             ),0.30,0.40,0.47,0.50,0.54
5,nb-svmf        ,0.48,0.06 (             - *--            ),0.43,0.46,0.48,0.50,0.57
5,svm-dtf        ,0.5 ,0.13 (            ---|* ---         ),0.40,0.47,0.50,0.58,0.67
5,svm-dtf-clust  ,0.5 ,0.16 (            -- |*  --         ),0.40,0.45,0.50,0.59,0.67
5,cart-cfs       ,0.5 ,0.28 (    ------     |* --          ),0.13,0.33,0.50,0.56,0.65
5,nb-dtf-clust   ,0.5 ,0.15 (            -- |*----         ),0.39,0.46,0.50,0.55,0.67
5,nb-cfs         ,0.51,0.12 (             --|* ----        ),0.43,0.47,0.51,0.58,0.68
6,nb-dtf         ,0.53,0.08 (              -| *-           ),0.44,0.50,0.53,0.56,0.62
6,svm-cfs-clust  ,0.53,0.14 (            ---| * --         ),0.39,0.47,0.53,0.59,0.67
6,svm-svmf-clust ,0.53,0.21 (              -| *    --      ),0.45,0.49,0.53,0.68,0.76
6,rf-dtf-clust   ,0.53,0.29 (         ---   | *   ----     ),0.31,0.40,0.53,0.67,0.80
6,cart-def       ,0.53,0.08 (            ---| *-           ),0.40,0.50,0.53,0.55,0.61
6,rf-svmf        ,0.54,0.17 (          -----| * --         ),0.31,0.47,0.54,0.59,0.67
6,cart-def-clust ,0.54,0.19 (         ----  | *--          ),0.30,0.42,0.54,0.57,0.65
6,svm-cfs        ,0.54,0.09 (             --| *---         ),0.43,0.50,0.54,0.58,0.67
6,svm-svmf       ,0.55,0.19 (              -| *   ---      ),0.44,0.49,0.55,0.67,0.75
6,rf-dtf         ,0.56,0.24 (            ---|- *   ---     ),0.38,0.53,0.56,0.70,0.79
6,rf-svmf-clust  ,0.58,0.12 (          -----|  * ---       ),0.31,0.52,0.58,0.64,0.74
6,nb-def         ,0.58,0.13 (               |- * --        ),0.47,0.55,0.58,0.63,0.70
7,cart-svmf      ,0.65,0.21 (      ---------|--  *  ---    ),0.21,0.57,0.65,0.73,0.81
7,cart-dtf-clust ,0.65,0.24 (          -----|--  *    ---- ),0.32,0.56,0.65,0.79,0.90
7,oner-def       ,0.68,0.06 (               |   -- *       ),0.59,0.65,0.68,0.70,0.73
7,cart-dtf       ,0.69,0.19 (          -----|----  *  --   ),0.32,0.64,0.69,0.79,0.84
7,cart-svmf-clust,0.7 ,0.12 (    -----------|----  * ---   ),0.13,0.65,0.70,0.76,0.84